"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "Markdown", "XML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\.eslintrc.json", "JSON with Comments", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 14, 37
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\components.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\next.config.mjs", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 2, 17
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\package-lock.json", "JSON", 0, 5802, 0, 0, 0, 0, 0, 0, 0, 1, 5803
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\package.json", "JSON", 0, 44, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\postcss.config.mjs", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\public\loading-spinner-2.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\public\loading-spinner.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\AccountMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 93, 0, 0, 3, 96
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\Categories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 0, 8, 93
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\CategoryItems.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 113, 0, 0, 10, 123
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\CategorySection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 7, 53
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\ChangeEmail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 2, 57
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\EditProfile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 4, 91
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\Favorites.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 95, 0, 0, 10, 105
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\Hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 3, 46
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\OrderedFoodCart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 93, 0, 3, 14, 110
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\ProfileDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 1, 7, 82
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\SideBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 79, 0, 0, 7, 86
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\authentication\Auth.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 2, 6, 45
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\authentication\AuthHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 3, 33
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\authentication\Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 0, 5, 111
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\authentication\SignInForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 0, 6, 84
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\authentication\SignUpForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 101, 0, 3, 7, 111
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\authentication\authActions.ts", "TypeScript", 0, 0, 143, 0, 0, 0, 0, 0, 0, 12, 155
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\authentication\dynamicLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 2, 38
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\funcs\actions.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 3, 56
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\funcs\index.ts", "TypeScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 1, 65
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\hooks\useFormSubmission.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 1, 5, 41
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\hooks\useFormValidation.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 2, 7, 68
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\ui\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\ui\CartIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 4, 35
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\ui\FavoriteIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 3, 40
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\ui\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 1, 3, 48
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\_components\ui\SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 6, 37
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 1, 4, 28
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\auth\activate\[uid]\[token]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 0, 5, 61
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\auth\change-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 0, 5, 93
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\auth\forgot-password\[uid]\[token]\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\auth\forgot-password\[uid]\[token]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 91, 0, 0, 9, 100
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\auth\forgot-password\[uid]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 3, 34
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\auth\forgot-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 5, 65
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\auth\signin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\auth\signup\check-email\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 1, 7, 66
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\auth\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\cart\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 3, 5, 50
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\cart\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 148, 0, 3, 11, 162
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\categories\[category]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 99, 0, 0, 7, 106
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\favorites\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 118, 0, 0, 9, 127
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 23, 3, 5, 31
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 4, 37
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 4, 43
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\order_history\delivered\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\order_history\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 1, 3, 37
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\order_history\preparing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\product\[product_id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 234, 0, 5, 17, 256
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\app\server-error\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\lib\Providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\lib\axios.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 5, 11, 65
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\lib\schema.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 3, 6, 59
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\src\types\index.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 7, 97
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\tailwind.config.ts", "TypeScript", 0, 0, 150, 0, 0, 0, 0, 0, 11, 5, 166
"c:\Users\asus\Desktop\My-Projects\fronted-uni-food\tsconfig.json", "JSON with Comments", 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 19, 5863, 657, 32, 23, 6, 2751, 23, 52, 335, 9761
